,bert_scores,vader_compound
0,0.9997848868370056,0.8834
1,0.9952918291091919,0.5521
2,0.9995622038841248,0.5563
3,0.9944018341424897,0.6705
4,0.0812346416266842,0.3119
5,0.002029566910988637,-0.979
6,0.5963583776775079,0.8519
7,0.0248524891006607,0.5837
8,0.009981268217190838,-0.9
9,0.0001942164817592129,-0.8108
10,0.16229175423429226,-0.902
11,0.9993945250144372,0.8122
12,0.9987497420414634,0.6369
13,0.999068076411883,0.8653
14,0.0021751008462160826,0.1548
15,0.015123467892408371,0.6808
16,0.0005399665678851306,0.4939
17,0.6582453217670009,0.8442
18,0.6963116187336189,0.3818
19,0.004296253435313702,-0.128
20,0.9979814492739164,0.7595
21,0.2203176399158017,-0.9102
22,0.9963036775588989,0.8899
23,0.9997567534446716,0.8807
24,0.005847006144180779,0.3417
25,0.0020758153881651744,0.9389
26,0.035214968747996137,-0.8248
27,0.0013999665626990723,-0.407
28,0.9934887940647038,0.5619
29,0.006084852711955333,-0.128
30,0.9961876273155212,0.0
31,0.18109213860207718,-0.7811
32,0.999854326248169,0.9022
33,0.5534169031860418,0.6836
34,0.22543911589932114,0.6478
35,0.9996258020401001,0.8402
36,0.9998409748077393,0.6901
37,0.14109937823852714,0.4927
38,0.9998167546082896,0.9466
39,0.9980495426039032,0.886
40,0.9997507929801941,0.9509
41,0.9138662525018056,0.8502
42,0.00018803856801241636,-0.5106
43,0.001242831581780179,0.7509
44,0.9997124075889587,0.8581
45,0.00041791333933360875,-0.1531
46,0.9996166229248047,0.8481
47,0.7124169858438628,0.6478
48,0.242641941012644,0.25
49,0.606714867574514,0.8343
50,0.20111875169612656,0.0
51,0.006430104005674647,-0.5637
52,0.800217777843306,0.4404
53,0.002579495162599799,-0.2144
54,0.0025073956563304205,-0.9182
55,0.10877916867646528,0.6705
56,0.9940735697746277,0.0294
57,0.16327842465274173,-0.6808
58,0.07241152826314004,-0.8399
59,0.0009245088440366089,-0.6705
60,0.2541325303262853,0.2263
61,0.47610290656990273,0.4927
62,0.9997423224978976,0.9093
63,0.9997173713915276,0.7774
64,0.015176632201264403,-0.9382
65,0.0006357505917549133,-0.7096
66,0.9654899784942078,0.6361
67,0.4173081641844301,0.4754
68,0.9996906518936157,0.8658
69,0.79566614221319,0.9528
70,0.17156011798385104,-0.6449
71,0.0020217890525547543,-0.6551
72,0.21867325583741787,-0.5374
73,0.08641970952342064,-0.8357
74,0.07100786745883106,0.2732
75,0.07954578846693039,0.4125
76,0.0051263547502458096,-0.2031
77,0.8152484370188581,0.762
78,0.0003402583533897996,0.5106
79,0.0119640252968987,-0.8638
80,0.9997885823249817,0.872
81,0.008403674567428727,-0.4983
82,0.9997461438179016,0.6801
83,0.99874347448349,0.9148
84,0.8687894331580177,0.7579
85,0.45876273310933574,0.859
86,0.0009590560609164337,0.2584
87,0.9956069755844954,0.802
88,0.0544534400259445,-0.8126
89,0.017302579206771543,-0.8585
90,0.0021407278722322923,0.0
91,0.0008135265566322588,0.0
92,0.4272081703083576,0.2023
93,0.9998275539032498,0.8268
94,0.6349023142868964,0.9434
95,0.1694387569797647,0.7156
96,0.08725365381630042,-0.631
97,0.9989514889782423,0.4754
98,0.7727573586944723,0.9089
99,0.9998126566035193,0.9575
100,0.06482140113375434,-0.8987
101,0.9604660086644192,0.8779
102,0.006320781743074245,-0.6884
103,0.0012042686576023698,-0.0869
104,0.15453457819343644,-0.5562
105,0.9997640252113342,0.9681
106,0.016153943357125358,0.5549
107,0.1442320991027322,-0.8338
108,0.2844784044250214,0.6504
109,0.1767922024491987,-0.5719
110,0.9983547934912201,0.6486
111,0.07350665330886841,0.9875
112,0.002170175962942088,0.3182
113,0.9998278617858887,0.8882
114,0.9959725737571716,0.8049
115,0.0003300415895761044,-0.6546
116,0.9966726303100586,0.9081
117,0.004822880961000919,0.0818
118,0.48636990220901527,-0.9015
119,0.9477336508232158,0.8201
120,0.4767823858467275,0.8271
121,0.9991582632064819,0.792
122,0.7037065029144287,-0.4019
123,0.05688081795975164,-0.71
124,0.002157050002198149,-0.8527
125,0.9810367860424687,0.8176
126,0.9895265102386475,0.7501
127,0.6691614925658622,0.3612
128,0.5017278094297436,0.5565
129,0.4856288969647402,0.8836
130,0.004464212392287498,-0.6808
131,0.6114461837988819,0.9001
132,0.6377525993998636,0.3919
133,0.9966142644548113,0.8126
134,0.99975560978055,-0.1027
135,0.9942832589149475,0.0
136,0.9994634985923767,0.5994
137,0.02019528940653045,-0.2732
138,0.4791642038524151,0.6508
139,0.016096720014663116,-0.5986
140,0.06627963319008884,0.3802
141,0.9997340535485981,0.9281
142,0.009159512825721328,-0.9548
143,0.9993045718329293,0.8402
144,0.047135065118811145,0.7783
145,0.0028255808867085177,0.5615
146,0.002256796942987211,-0.9904
147,0.0006975286523811519,-0.7815
148,0.9981314078072049,0.8689
149,0.0014687278307974339,0.0
150,0.0014687278307974339,0.0
151,0.0014687278307974339,0.0
152,0.0014687278307974339,0.0
153,0.0014687278307974339,0.0
154,0.0014687278307974339,0.0
155,0.0014687278307974339,0.0
156,0.0014687278307974339,0.0
157,0.0014687278307974339,0.0
158,0.0014687278307974339,0.0
159,0.9956070910329404,0.9112
160,0.9966930488222524,0.9477
161,0.9986631964382372,0.9169
162,0.0054723829962313175,0.8402
163,0.0010997512681746732,-0.9672
164,0.700242997205699,0.8948
165,0.03397180722483124,0.5719
166,0.0013932486763224006,0.431
167,0.04332066345278694,-0.6494
168,0.004226705323088973,-0.935
169,0.9998088244235876,0.888
170,0.9997492432594299,0.6369
171,0.058771534657576306,0.2732
172,0.0032574663933600794,0.3802
173,0.10531303581426384,0.2262
174,0.4660618134504275,0.8834
175,0.7454414221903553,0.8442
176,0.9998689889907837,0.9167
177,0.9991672039031982,0.8732
178,0.25740092097572526,-0.296
179,0.001979463127280801,-0.7184
180,0.998561719080785,0.7717
181,0.9997143580067542,0.9064
182,0.007511000614613295,0.3802
183,0.9996810007840395,0.7564
184,0.10263127357715902,-0.6114
185,0.9796528816223145,-0.7887
186,0.2947047541407857,0.9114
187,0.0009622464422136545,-0.6249
188,0.8982046242607268,0.802
189,0.7429515264484267,0.2716
190,0.9988620615309212,0.7783
191,0.005594661459326744,-0.9896
192,0.3426263405132583,0.9605
193,0.22800635712399603,0.4404
194,0.2756745825436982,0.128
195,0.5506301492904172,0.6597
196,0.002111124573275447,-0.2755
197,0.00504895956689828,-0.8505
198,0.9984874725341797,0.4902
199,0.644769186662002,0.8115
200,0.005078321568717132,-0.9439
201,0.09747216842960661,0.6667
202,0.9998617172241211,0.9499
203,0.018324177712202072,-0.0554
204,0.9887424520083836,0.8875
205,0.2706634585789585,-0.6434
206,0.6590298441722989,0.8085
207,0.9990264177322388,0.9197
208,0.833717229326705,0.6407
209,0.9997697222877193,0.7804
210,0.27041697149125854,0.3018
211,0.271530419588089,0.4019
212,0.997765302658081,0.836
213,0.00036072515649721026,0.1323
214,0.9997447453696152,0.8176
215,0.000899848171758218,-0.6301
216,0.9976308345794678,0.4547
